ID,race_eth_cat,sex,alpha_rho,beta_rho,num_trees,seed,iter,thin,warmup,sigma2_beta,sigma2_beta_update_freq,beta_acc_prob,n_min,alpha_sigma,beta_sigma,moves,move_probs
1,'HISP','F',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
2,'HISP','F',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
3,'HISP','F',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
4,'HISP','F',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
5,'HISP','F',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
6,'HISP','F',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
7,'HISP','F',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
8,'HISP','F',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
9,'HISP','F',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
10,'HISP','F',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
11,'HISP','F',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
12,'HISP','F',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
13,'HISP','F',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
14,'HISP','F',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
15,'HISP','F',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
16,'HISP','F',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
17,'HISP','F',0.95,2,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
18,'HISP','F',0.95,2,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
19,'HISP','F',0.95,2,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
20,'HISP','F',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
21,'HISP','M',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
